"State","Sex","Race/Ethnicity","Age Group","First Year","Last Year","Rank","Cause of Death","Deaths"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","1","Congenital Anomalies","5013"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","2","Short Gestation","4106"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","3","SIDS","1910"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","4","Maternal Pregnancy Comp.","1591"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","5","Unintentional Injury","1163"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","6","Placenta  Cord Membranes","1004"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","7","Bacterial Sepsis","526"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","8","Respiratory Distress","513"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","9","Circulatory System Disease","500"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","10","Neonatal Hemorrhage","456"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","11","Necrotizing Enterocolitis","394"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","12","Intrauterine Hypoxia","313"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","13","Homicide","290"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","14","Atelectasis","268"
"United States","Both Sexes","All Races,","<1 yrs","2011","2011","15","Diarrhea","261"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","1","Unintentional Injury","1377"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","2","Congenital Anomalies","493"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","3","Homicide","412"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","4","Malignant Neoplasms","353"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","5","Heart Disease","165"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","6","Influenza & Pneumonia","112"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","7","Septicemia","61"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","8","Chronic Low. Respiratory Disease","53"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","9","Benign Neoplasms","45"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","10","Cerebrovascular","42"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","11","Perinatal Period","34"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","12","Acute Bronchititis","14"
"United States","Both Sexes","All Races,","1-4 yrs","2011","2011","12","Anemias","14"
